ID,KeyName,Name_KR,Detail_KR,Effect_KR,Name_EN,Detail_EN,Effect_EN,Name_JP,Detail_JP,Effect_JP,Name_SC,Detail_SC,Effect_SC,Name_TC,Detail_TC,Effect_TC
,,,,,,,,,,,,,,,,
0,DungeonMaster_Temp,던전 마스터의 증표 (임시),던전에 관련된 내용이 기록된 계약서. \30일 동안 A랭크 던전으로 만들어야 한다고 쓰여 있다. \그 아래에 작게 쓰여 있는 내용은... 신경 쓰지 말자.,,Dungeon Master's Proof (Temporary),A contract with recorded dungeon details. \States that it must become an A-rank dungeon within 30 days. \The fine print below... let's not worry about that.,,ダンジョンマスターの証明 (仮),ダンジョンに関する内容が記された契約書。\30日以内にAランクダンジョンにしなければならないと書かれています。\下の小さな文字は...気にしないことにしましょう。,,地下城主之证明 (临时),记载着地下城相关内容的契约书。\写着必须在30天内将其打造成A级地下城。\至于下面的小字...还是别在意了。,,地下城主之證明 (臨時),記載著地下城相關內容的契約書。\寫著必須在30天內將其打造成A級地下城。\至於下面的小字...還是別在意了。,
,,,,,,,,,,,,,,,,
10,Racing,[던전경주] 인증서,이 던전은 [던전경주]를 하기에 적합한 던전이므로 이 인증서를 부여합니다. \^던전 레이서 협회^,매 턴 인기도 +5,Dungeon Racing Certificate,This dungeon is certified as suitable for Dungeon Racing. \^Dungeon Racer Association^,+5 Popularity per turn,ダンジョンレース認定証,このダンジョンはダンジョンレースに適したダンジョンとして認定します。\^ダンジョンレーサー協会^,毎ターン人気度 +5,地下城竞速认证书,特此证明此地下城适合进行地下城竞速赛。\^地下城竞速者协会^,每回合人气度 +5,地下城競速認證書,特此證明此地下城適合進行地下城競速賽。\^地下城競速者協會^,每回合人氣度 +5
,,,,,,,,,,,,,,,,
20,SoothsayerOrb,점쟁이 구슬,능력이 제한적이긴 하지만- 미래를 볼 수 있는 신비로운 아티팩트입니다. \어느 모험가에게서 받았습니다.,다음번에 발생할 랜덤 이벤트를 알 수 있음,Soothsayer Orb,A mysterious artifact that can see the future - although its abilities are limited. \You received it from an adventurer.,Reveals the next random event that will occur,占い師の水晶球,能力は限られていますが、未来を見ることができる神秘的なアーティファクトです。\ある冒険者から受け取りました。,次に発生するランダムイベントを知ることができます,算命师水晶球,一件神秘的神器，虽然能力有限，但可以看到未来。\你从一位冒险者那里得到它。,可以预知下一次将发生的随机事件,算命師水晶球,一件神秘的神器，雖然能力有限，但可以看到未來。\你從一位冒險者那裡得到它。,可以預知下一次將發生的隨機事件
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
80,LvBook_1,한계 돌파의 책 (C),성장 한계에 대한 비밀이 담긴 책. \던전의 유닛이 한계 이상으로 성장할 수 있습니다.,유닛 최대 Lv +3 (최대 99),Limit Break Book (C),A book containing secrets about growth limits. \Allows dungeon units to grow beyond their limits.,Unit Max Lv +3 (Max 99),限界突破の書 (C),成長限界に関する秘密が記された書。\ダンジョンのユニットが限界以上に成長できるようになります。,ユニット最大Lv +3 (最大99),突破极限之书 (C),记录着成长极限秘密的书。\地下城单位可以超越极限成长。,单位最大等级 +3 (最大99),突破極限之書 (C),記錄著成長極限秘密的書。\地下城單位可以超越極限成長。,單位最大等級 +3 (最大99)
81,LvBook_2,한계 돌파의 책 (B),성장 한계에 대한 비밀이 담긴 책. \던전의 유닛이 한계 이상으로 성장할 수 있습니다.,유닛 최대 Lv +6 (최대 99),Limit Break Book (B),A book containing secrets about growth limits. \Allows dungeon units to grow beyond their limits.,Unit Max Lv +6 (Max 99),限界突破の書 (B),成長限界に関する秘密が記された書。\ダンジョンのユニットが限界以上に成長できるようになります。,ユニット最大Lv +6 (最大99),突破极限之书 (B),记录着成长极限秘密的书。\地下城单位可以超越极限成长。,单位最大等级 +6 (最大99),突破極限之書 (B),記錄著成長極限秘密的書。\地下城單位可以超越極限成長。,單位最大等級 +6 (最大99)
