0~499 Day Event,,,,,,,,,,,,,,,,
500~999 Story,,,,,,,,,,,,,,,,
1000~1999 퀘스트보드,,,,,,,,,,,,,,,,
"2000~9999 NPC이벤트",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Type(Bubble:Quest),ID,keyName,index,optionString,mainText_KR,mainText_EN,mainText_JP,mainText_SCC,,,Title_KR,Title_EN,Title_JP,Title_SCC,,
,,,,,,,,,,,,,,,,
Bubble,0,Prologue,0,@Camera::Player::Camera,자. 그럼 어떻게 해야하지?,Well- what should I do now?,さて、どうすればいいだろうか？,那么- 我该怎么做呢？,,,,,,,,
,,,1,,…………,…………,…………,…………,,,,,,,,
,,,2,,그 후로 이것저것 알게된건 많지만…,I've learned a lot since then but...,その後、いろいろと分かってきたけど…,虽然之后知道了很多事情…,,,,,,,,
,,,3,,어쨌든 핵심은 내가 던전을 조작할 수 있고…,Anyway- the key is that I can control the dungeon and...,とにかく要点は、僕がダンジョンを操作できて…,总之核心是我可以操控地下城…,,,,,,,,
,,,4,,사람들을 많이 오게해서 던전을 키우면 되는거잖아?,I just need to attract more people to grow the dungeon- right?,多くの人を来させてダンジョンを成長させればいいんだよね？,只要让更多人来- 让地下城成长就行了- 对吧？,,,,,,,,
,,,5,,사람이 많이 올수록 마나가 모여서 할 수 있는게 많아지고…,The more people come- the more mana gathers and the more I can do...,人が多く来るほどマナが集まって、できることが増えて…,人越多- 魔力就越集中- 能做的事情就越多…,,,,,,,,
,,,6,,이런 던전을 누가 올까 싶지만…,I wonder who would come to a dungeon like this but...,こんなダンジョンに誰が来るのかと思うけど…,虽然不知道谁会来这样的地下城…,,,,,,,,
,,,7,,뭐 일단 하루정도 지켜볼까?,Well- should I observe for a day or so?,まぁ、とりあえず一日ほど様子を見てみようか？,那么- 先观察一天看看吧？,,,,,,,,
,,,8,,우선 누가 오는지 알아야 대비를 하니까.,First- I need to know who's coming to prepare.,まずは誰が来るか知らないと対策ができないからね。,首先得知道谁会来- 才能做好准备。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,1,Tutorial_Facility,0,@Camera::Player::Camera,역시 몇몇 약초꾼이랑 광부 정도만 오는구나.,As expected- only a few herbalists and miners are coming.,やっぱり何人かの薬草採りと鉱夫くらいしか来ないんだな。,果然只有一些采药人和矿工来啊。,,,,,,,,
,,,1,,그럼 그렇지. 뭘 기대한거야.,Of course. What was I expecting?,そりゃそうだよね。何を期待してたんだ。,也是- 还能指望什么呢。,,,,,,,,
,,,2,,사실 맨날 이 던전을 다니던 내가 제일 잘 알잖아?,Actually- I who used to come here every day know best-,実際、毎日このダンジョンを巡っていた僕が一番よく知ってるじゃないか？,其实每天在这个地下城里走动的我最清楚不过了- 对吧？,,,,,,,,
,,,3,,이 던전에 올 이유가 별로 없다는걸…,That there's not much reason to come to this dungeon...,このダンジョンに来る理由があまりないってことを…,这个地下城没什么特别的理由值得来…,,,,,,,,
,,,4,,………………,………………,………………,………………,,,,,,,,
,,,5,,그래도 앞으로 이유를 만들어 나가면 되니까!,But from now on- I can create reasons!,でも、これからは理由を作っていけばいいんだから！,不过以后可以创造理由嘛！,,,,,,,,
,,,6,,일단 약초나 광물부터 만들어보자.,Let's start by creating herbs and minerals.,とりあえず薬草や鉱物から作ってみよう。,先从药草和矿物开始制作吧。,,,,,,,,
,,,7,,어찌 됐건 조금씩은 오긴 하니까.,At least some people are coming anyway.,どうにかして少しずつは来てくれてるしね。,不管怎样- 总有人来的。,,,,,,,,
,,,8,,또 할 수 있는 게 있으려나?,Is there anything else I can do?,他に何かできることはあるかな？,还有什么能做的吗？,,,,,,,,
,,,9,,시간이 남으면 조각상이나 좀 살펴봐야겠어.,If I have time- I should examine the statues.,時間が余ったら彫像でも少し調べてみようかな。,如果有时间的话- 我得看看雕像。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,2,Tutorial_Monster,0,@Camera::Player::Camera,그런데 적긴 해도 모험가들도 올텐데…,But even though they're few- adventurers will come too...,それにしても、少ないとはいえ冒険者たちも来るだろうし…,不过虽然不多- 但冒险者也会来…,,,,,,,,
,,,1,,가끔 있단말이지. 견습 모험가들이.,There are occasionally- you know. Apprentice adventurers.,たまにいるんだよね。見習い冒険者たちが。,偶尔会有见习冒险者来。,,,,,,,,
,,,2,,탐색이나 보물- 몬스터가 목적인 모험가들은\약초나 광물로 돌려보낼 순 없을 테고.,I can't turn away adventurers looking for exploration- treasure- or monsters\with just herbs and minerals.,探索や宝物、モンスターが目的の冒険者たちは、薬草や鉱物だけでは帰せないだろうし。,对于以探索- 宝物- 怪物为目的的冒险者-\不能只用药草和矿物打发他们。,,,,,,,,
,,,3,,역시 몬스터가 필요할지도 모르겠어.,I might need monsters after all.,やっぱりモンスターが必要かもしれないね。,看来还是需要怪物啊。,,,,,,,,
,,,4,,던전의 마나를 사용해서 한 번 소환해보자.,Let's try summoning one using the dungeon's mana.,ダンジョンのマナを使って一度召喚してみよう。,用地下城的魔力试试召唤一次吧。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,3,Tutorial_Technical,0,@Camera::Technical_A::Camera,,,,,,,,,,,,
,,,1,@Camera::Player::Camera,던전에 저런 공간이 있었나?,Was there such a space in the dungeon?,ダンジョンにこんな空間があったかな？,地下城里有这样的空间吗？,,,,,,,,
,,,2,,뭔가 유용한 시설을 지을 수 있을 것 같네.,Looks like I could build some useful facilities here.,何か役立つ施設を建てられそうだね。,看起来可以建造一些有用的设施呢。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,4,Tutorial_Egg,0,@Camera::Player::Camera,!!,!!,!!,!!,,,,,,,,
,,,1, @Action::FirstEggApprear::Action@Skip::8::Skip,,,,,,,,,,,,
,,,2,@Camera::Player::Camera,전이진이 다시 활성화됐네.,The teleportation circle is active again.,転移陣が再び活性化したね。,传送阵又激活了。,,,,,,,,
,,,3,,계속 숨겨져 있었으면 좋았겠지만…,It would've been nice if it stayed hidden but...,ずっと隠れていてくれればよかったんだけど…,虽然希望它一直隐藏着…,,,,,,,,
,,,4,,아무튼 이 공간을 들키지 않게 조심해야겠어.,Anyway- I need to be careful not to let this space be discovered.,とにかく、この空間を見つからないように気をつけないと。,总之得小心- 不要让这个空间被发现。,,,,,,,,
,,,5,,아무래도 이상하게 생각할테고- 길드에서 조사를 나올수도 있고.,They'll find it strange and the guild might send an investigation.,きっと怪しく思われるだろうし、ギルドから調査が来るかもしれない。,肯定会觉得奇怪- 公会也可能来调查。,,,,,,,,
,,,6,,어찌 됐든 계약을 완료하지 못하면 내가 위험하니까…,One way or another- if I don't finish this contract- I'll be in hot water...,どうあれ、契約を完了しないと僕が危険だからね…,无论如何- 如果不能完成契约- 我就危险了…,,,,,,,,
,,,7,@Action::EggMessage::Action,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,5,Tutorial_Guild,0,@Camera::Player::Camera,길드에 한번 가볼까?,Should I visit the guild?,ギルドに行ってみようかな？,去公会看看吧？,,,,,,,,
,,,1,,뭔가 도움이 되는 정보를 얻을 수도 있을 테고.,I might be able to get some helpful information.,何か役立つ情報が得られるかもしれないし。,也许能得到一些有用的信息。,,,,,,,,
,,,2,,그렇지만 트러블이 생기지않게 조심하는게 좋겠어.,But I should be careful not to cause any trouble.,でもトラブルが起きないように気をつけたほうがいいね。,不过得小心- 不要惹出麻烦。,,,,,,,,
,,,3,,혹시 수상하게 생각하는 사람이 있을 수도 있으니.,There might be someone who finds me suspicious.,もしかしたら怪しく思っている人がいるかもしれないから。,可能会有人觉得可疑。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,6,Tutorial_Orb,0,@Action::Tutorial_Orb::Action,,,,,,,,,,,,
,,,1,,알 주변의 수정에 뭔가 변화가 생긴 것 같아.,Something seems to have changed in the crystals around the egg.,卵の周りの結晶に何か変化があったようだ。,蛋周围的水晶好像有些变化。,,,,,,,,
,,,2,,혹시 뭔가 할 수 있는게 있는지 확인해보자.,Let's check if there's anything we can do.,何かできることがあるか確認してみよう。,看看是否有什么新的能力吧。,,,,,,,,
,,,3,@Action::Tutorial_Orb_Over::Action,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,7,Tutorial_RandomEvent,0,@Camera::Player::Camera,던전의 마나 흐름이 심상치 않은걸?,The mana flow in the dungeon doesn't seem right.,ダンジョンのマナの流れが尋常じゃないな。,地下城的魔力流动不太正常啊。,,,,,,,,
,,,1,,던전에 무언가 일이 발생할 것 같아.,Something's about to happen in the dungeon.,ダンジョンで何か起こりそうだ。,地下城似乎要发生什么事情了。,,,,,,,,
,,,2,,한 번 살펴봐야겠네.,I should check it out.,一度確認してみよう。,我得去看看。,,,,,,,,
,,,3,,혹시 이런 현상이 주기적으로 발생한다면...,If this phenomenon occurs periodically...,もしこのような現象が周期的に発生するなら...,如果这种现象周期性发生的话...,,,,,,,,
,,,4,,미리 대비가 필요할지도 모르겠어.,I might need to prepare in advance.,事前に備える必要があるかもしれないな。,可能需要提前做些准备。,,,,,,,,
,,,5,@Action::Tutorial_RandomEvent::Action,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,10,GameOver,0, @Camera::Special_MagicEgg::Camera @Skip::3::Skip,!!!,!!!,!!!,!!!,,,,,,,,
,,,1,,,,,,,,,,,,,
,,,2,@Action::GameOver::Action,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,33,FirstAdvAppear,0, @Camera::EM_FirstAdventurer::Camera,여기가 초보자 던전이구나.,So this is the Novice dungeon- huh?,ここが初心者ダンジョンなんだね。,这里就是新手地下城啊。,,,,,,,,
,,,1,,여기라면 나도 몬스터 슬레이어가 될 수 있을거야!,I bet I could become a monster slayer here!,ここなら俺もモンスタースレイヤーになれるはず！,在这里- 我也能成为怪物杀手！,,,,,,,,
,,,2,,보물도 나오면 좋을텐데… 있을까?,It'd be nice if there were treasures too... I wonder if there are any?,宝物も出てくれたらいいんだけど… あるかな？,如果能找到宝物就好了… 会有吗？,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,83,RedHair_Appear,0, @Camera::EM_RedHair::Camera,여기가 그 초보자 던전인가?,Is this the Novice Dungeon?,ここがあの初心者ダンジョンか？,这就是那个新手地下城吗？,,,,,,,,
,,,1,,뭐- 나같은 초 슈퍼 루키에게\이정도 던전쯤은 껌이지.,Well- for a super rookie like me-\this level of dungeon is a piece of cake.,まぁ、俺のような超スーパールーキーにとって、このくらいのダンジョンはお茶の子さいさいだよ。,嘿- 对于我这样的超级新秀来说-\这种程度的地下城小菜一碟。,,,,,,,,
,,,2,,빠르게 돌파하고 견습모험가를 졸업하겠어!!,I'll quickly clear it and graduate from being an apprentice adventurer!!,さっさと攻略して、見習い冒険者を卒業してやる！！,我要快速通关- 毕业成为见习冒险者！！,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,84,RedHair_Defeat,0, @Camera::EM_RedHair::Camera,뭐야 이 던전은?,What's with this dungeon?,なんだこのダンジョンは？,这是什么地下城啊？,,,,,,,,
,,,1,,들은 것 보다 엄청나게 더 위험하잖아?,It's way more dangerous than I heard!,聞いていたよりもずっと危険じゃないか？,比听说的危险多了！,,,,,,,,
,,,2,,뭔가 이상해… 일단 도망쳐야겠어.,Something's not right... I need to escape for now.,何かおかしい… とりあえず逃げないと。,有点不对劲… 先逃吧。,,,,,,,,
,,,3,  @Action::RedHair_Defeat::Action @Camera::Player::Camera @Target::Player::Target,……………,……………,……………,……………,,,,,,,,
,,,4,,돌아갔…나?,Did they go back...?,帰れた…のか？,回去了…吗？,,,,,,,,
,,,5,,견습 치고는 상당히 위험한 녀석이였네.,That was quite a dangerous one for an apprentice.,見習いにしてはかなり危険な奴だったな。,作为见习者- 他相当危险呢。,,,,,,,,
,,,6,,혹시 별일은 없겠지? 다시 안오면 좋겠는데…,I hope nothing bad happened? It'd be nice if they don't come back...,もしかして大丈夫だったのかな？ もう来ないでくれるといいんだけど…,应该没什么事吧？希望他不要再来了…,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,85,RedHair_Return,0, @Camera::EM_RedHair::Camera,역시 위험한 일은 없었네,There wasn't any danger after all.,やっぱり危険なことはなかったね。,果然没有什么危险,,,,,,,,
,,,1, @Action::RedHair_Return::Action,그래도 들은 것보단 쓸만한 던전이잖아?,It's a more useful dungeon than I heard- isn't it?,聞いたよりは使えるダンジョンじゃない？,不过比听说的要好用嘛？,,,,,,,,
,,,2,,가끔은 수련할 겸 와도 되겠어.,Sometimes I could come here for training.,たまには修練のために来てもいいかもね。,偶尔来训练一下也不错。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,90,Goblin_Appear,0,,킁킁…,Sniff sniff…,クンクン…,嗅嗅…,,,,,,,,
,,,1,,냄새가 난다…,I smell something…,匂いがする…,有气味…,,,,,,,,
,,,2,,풍부한 자원의 냄새…,The smell of rich resources…,豊富な資源の匂い…,丰富资源的气味…,,,,,,,,
,,,3,,던전의 마나의 냄새…,The smell of dungeon mana…,ダンジョンのマナの匂い…,地下城魔力的气味…,,,,,,,,
,,,4,,모두… 내꺼다…,All… mine…,全部…俺のものだ…,都是…我的…,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,91,Goblin_Satisfiction,0,  @Camera::Event_Goblin_Leader::Camera,매우 만족스럽다…,Very satisfying…,非常に満足だ…,非常满意…,,,,,,,,
,,,1,,하지만 자원 아직도 더 많다…,But there are still more resources…,しかし資源はまだ多くある…,但资源还有更多…,,,,,,,,
,,,2,,다시…와야겠다…,I must come back again…,また…来なければ…,得…再来…,,,,,,,,
,,,3,  @Action::Goblin_Satisfiction::Action@Camera::Player::Camera @Target::Player::Target,……,……,……,……,,,,,,,,
,,,4,,정말로 무지막지한 놈들이잖아?,They're truly ruthless- aren't they?,本当に無茶苦茶な奴らじゃないか？,真是无法无天的家伙啊？,,,,,,,,
,,,5,,다행히 마나는 많이 가지고 있는 것 같지만…,Luckily- we seem to have plenty of mana…,幸い、マナはたくさん持っているようだが…,幸好好像有很多魔力…,,,,,,,,
,,,6,,왠지 다음에 또 올 것 같아.,Somehow- I think they'll come back again.,なんだか次もまた来そうだ。,总觉得下次还会来。,,,,,,,,
,,,7,,그런데 만약 한 놈이 아니라 여럿이 온다면 큰일이겠어.,But if more come next time- it'll be trouble.,でももし一人ではなく複数が来たら大変だろう。,但如果不是一个- 而是很多个来的话就麻烦了。,,,,,,,,
,,,8,,던전 안쪽까지 오지 못하게 충분한 대비를 하자.,Let's make sure they can't get further into the dungeon.,ダンジョンの奥まで来られないように十分な準備をしよう。,得做好充分准备- 不让它们进入地下城深处。,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,92,Goblin_Empty,0, @Camera::Event_Goblin_Leader::Camera,…던전…별 거 없다…,…Dungeon…nothing special…,…ダンジョン…大したことない…,…地下城…没什么特别的…,,,,,,,,
,,,1, @Action::Goblin_Pass::Action,다른 던전… 찾아야 한다…,Must find…another dungeon…,他のダンジョン…見つけなければ…,得找…其他地下城…,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,93,Goblin_Die,0, @Camera::Event_Goblin_Leader::Camera,으윽…,Ugh…,うぐっ…,呃…,,,,,,,,
,,,1, @Action::Goblin_Pass::Action,던전… 위험하다…,Dungeon…dangerous…,ダンジョン…危険だ…,地下城…危险…,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,100,Goblin_Party,0,,여기… 자원 많다고 한다…,They say there are many resources here…,ここ…資源が多いと言われている…,这里…据说资源丰富…,,,,,,,,
,,,1,,동료… 다같이 왔다…,The comrades… have all come together…,仲間たち…みんなで来た…,同伴…一起来了…,,,,,,,,
,,,2,,전부… 우리꺼다…,Everything… is ours…,全部…俺たちのものだ…,全都是…我们的…,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,110,Orc_First,0,,약탈... 약탈이다!,Plunder... Time for plunder!,略奪...略奪だ！,掠夺...开始掠夺！,,,,,,,,
,,,1,,전부 털어라!,Take everything!,全部かっさらえ！,把一切都抢光！,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bubble,140,Catastrophe_Appear,0,,………………………………,………………………………,………………………………,………………………………,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
