ID,KeyName,Name_KR,Detail_KR,Name_EN,Detail_EN,Name_JP,Detail_JP,Name_SC,Detail_SC,Name_TC,Detail_TC
1,,던전 마스터의 일,이제부터 시작이군.  \\일단은 던전의 랭크를 높이는 걸 목표로 해볼까?,Dungeon Master's Work,Now it begins. \\Should I aim to raise the dungeon's rank first?,ダンジョンマスターの仕事,これからが始まりだな。\\まずはダンジョンのランクを上げることを目標にしてみようか？,地下城主人的工作,现在才刚刚开始。\\首先以提高地下城的等级为目标吧？,地下城主人的工作,現在才刚刚开始。\\首先以提高地下城的等級為目标吧？
,,,,,,,,,,,
1000,,베스트 컨디션,컨디션이 최상이다. \최대 행동력 +2,Best Condition,Your condition is at its best. \Action Points +2,ベストコンディション,調子が最高だ。\AP +2,最佳状态,状态非常好。\行动力 +2,最佳状态,状态非常好。\\行動力 +2
1001,,워스트 컨디션,컨디션이 최악이다. \최대 행동력 ^2,Worst Condition,Your condition is at its worst. \Action Points ^2,ワーストコンディション,調子が最悪だ。\AP ^2,最差状态,状态非常糟。\行动力 ^2,最差状态,状态非常糟。\\行動力 ^2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1100,,초보자 던전의 슬라임,초보자 던전의 슬라임을 괴롭히려는 헌터가 찾아온다. \평범한 슬라임이 아니라는 것을 알려주자.,Slime of the Novice Dungeon,A hunter is coming to harass the slime in the Novice Dungeon. \Let's show them that this is no ordinary slime.,初心者ダンジョンのスライム,初心者ダンジョンのスライムを困らせようとするハンターがやってくる。\普通のスライムではないことを教えてやろう。,新手地下城的史莱姆,有猎人来骚扰新手地下城的史莱姆。\让他们知道这不是普通的史莱姆。,新手地下城的史莱姆,有猎人來骚扰新手地下城的史莱姆。\\讓他們知道這不是普通的史莱姆。
1101,,어스 골렘의 핵,어스 골렘을 사냥해 핵을 가져가려는 자가 있다. \골렘의 강함을 보여주자.,Earth Golem's Core,Someone is trying to hunt the Earth Golem and take its core. \Let's demonstrate the golem's strength.,アースゴーレムの核,アースゴーレムを狩って核を持ち帰ろうとする者がいる。\ゴーレムの強さを見せつけよう。,土元素巨像的核心,有人想猎杀土元素巨像并带走它的核心。\让我们展示巨像的强大。,土元素巨像的核心,有人想猎杀土元素巨像并带走它的核心。\\讓我們展示巨像的强大。
,,,,,,,,,,,
1110,,[몬스터 웨이브],평소보다 몬스터가 강해지는 현상이라고 한다. \확인해 보니- 평소보다 몬스터의 성장이 빠른 걸 알아냈다. \이 기회를 잘 이용해 보자.,[Monster Wave],They say it's a phenomenon where monsters become stronger than usual. \Upon checking - I discovered that monsters grow faster than normal. \Let's make good use of this opportunity.,[モンスターウェーブ],普段よりモンスターが強くなる現象だという。\確認してみると、普段よりモンスターの成長が速いことがわかった。\このチャンスをうまく活用しよう。,[怪物潮汐],据说是怪物比平时更强的现象。\经检查，发现怪物的成长比平时更快。\好好利用这个机会吧。,[怪物潮汐],据說是怪物比平時更强的現象。\\經檢查，發現怪物的成长比平時更快。\\好好利用這個機会吧。
1111,,[몬스터 대토벌],여신의 가호로 던전의 모든 몬스터가 약화된다고 한다. \평소보다 각별히 더 신경 쓰자. \그나저나 변덕이 심한 여신이네.,[Monster Extermination],They say all dungeon monsters are weakened by the Goddess's blessing. \Let's be even more careful than usual. \What a capricious goddess.,[モンスター大討伐],女神の加護によりダンジョンのすべてのモンスターが弱体化するという。\普段以上に特に気をつけよう。\それにしても気まぐれな女神だな。,[怪物大讨伐],据说女神的护佑会使地下城的所有怪物减弱。\比平时更加小心吧。\话说回来，真是个多变的女神。,[怪物大讨伐],据說女神的護佑会使地下城的所有怪物减弱。\\比平時更加小心吧。\\話說回來，真是個多變的女神。
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1140,,던전의 재앙,초보자 던전에 위험이 다가오고 있다.\대비가 필요하다.,Catastrophe of the Dungeon,Danger is approaching the Novice dungeon. \Preparation is needed.,ダンジョンの災厄,初心者ダンジョンに危険が迫っている。\対策が必要だ。,地下城的灾难,危险正在逼近新手地下城。\需要做好准备。,地下城的灾難,危險正在逼近新手地下城。\\需要做好准备。
1141,,지속되는 재앙,계속해서 재앙이 찾아온다. \해결 할 방법을 찾자.,The catastrophe continues,Disasters keep coming. \Find a way to resolve them.,続く災厄,災害が続けて訪れている。\解決方法を見つけよう。,持续的灾难,灾难接二连三地来临。 \让我们找到解决的方法。,持续的灾難,灾難接二連三地來临。 \\讓我們找到解决的方法。
