EN,\' = '\n',"-' = ','",,,,,,
,ID,keyName,"Type(Bubble,Quest)",dialogueName,,index,optionString,mainText
0~499 Day Event,,,,,,,,
500~999 Story,,,,,,,,
1000~1999 questBoard,,,,,,,,
2000~9999 NPC event,,,,,,,,
,,,,,,,,
,,,,,,,,
,501,Opening_1,Bubble,,,0,,……………
,,,,,,1,,Ah- I want to have a real adventure too.
,,,,,,2,,How long do I have to stay in this Novice Dungeon?
,,,,,,3,,Everyone else gets to go to popular Dungeons \or Dungeons overflowing with resources...
,,,,,,4,,...Well- it's nobody's fault but my own lack of skill.
,,,,,,5,,But at least this Dungeon is familiar. \...It's almost like a second home- isn't it?
,,,,,,6,,…………………………
,,,,,,7,,Enough idle chatter- let's pack up and head back.
,,,,,,,,
,502,Opening_2,Bubble,,,0,,Huh?
,,,,,,1,,Why is there a warp gate over there...
,,,,,,2,,In all the years I've been in this Novice Dungeon- \I've never seen that before.
,,,,,,3,,There are places in this Dungeon I don't know about...
,,,,,,4,,I'm curious- should I take a look?
,,,,,,,,
,503,Opening_3,Bubble,,,0,,……………
,,,,,,1,,Something feels off about this place.
,,,,,,2,,Could I have warped to a different Dungeon?
,,,,,,3,,I've heard there are warp gates like that sometimes...
,,,,,,4,,No- but how could that be in a Novice Dungeon?
,,,,,,5,,Hmm... There's something written up ahead.
,,,,,,,,
,,,,,,,,
,504,Opening_4,Bubble,,,0,@Target::Notice::Target,★☆Extremely Rare Chance☆★
,,,,,,1,,You who have mastered this Dungeon!!
,,,,,,2,,For you- a once in a lifetime opportunity!!
,,,,,,3,,If you raise the Dungeon's rank by 5 levels- no less than!!
,,,,,,4,,The ownership of this Dungeon will be granted to you!!\An absolute 'once in a lifetime' chance!!
,,,,,,5,,Will you accept the contract??\ <size=10>※Refusal leads to forced contract
,,,,,,6,@Target::Player::Target,...What is this scam- like description?
,,,,,,7,,A master in a Novice Dungeon that anyone can clear?
,,,,,,8,,And since when do Dungeons have ownership?
,,,,,,9,,Well... I've heard of Dungeons that charge entry fees...
,,,,,,10,,………It seems foolish to take this seriously.
,,,,,,11,,Is someone playing a prank?
,,,,,,12,,But I've never seen a space like this \in this Dungeon before...
,,,,,,13,,If someone came and pulled a prank- \I would have known about it...
,,,,,,14,,And what is that egg in the back?\What does 'Dungeon rank' even mean?
,,,,,,15,,How can I raise the Dungeon's rank in the first place?
,,,,,,16,,If there was a way- I would have made \this Dungeon more prosperous long ago...
,,,,,,17,@Target::Notice::Target,The will of the Dungeon Master has been confirmed.
,,,,,,18,,The contract will proceed according to \the Dungeon Master's will.
,,,,,,19,,The duration is 30 days- and failure will \result in your soul being collected.
,,,,,,20,,Now- fighting!!
,,,,,,21,@Target::Player::Target,What? This is insane. When did I ever agree to this!!
,,,,,,22,,No!!!!!!!!!
,,,,,,,,
,,,,,,,,
,600,Ending_Demo,Bubble,,,0, @Camera::Player::Camera @Skip::2::Skip,!!
,,,,,,1,@Skip::2::Skip,!!!!!!!!!
,,,,,,2,@Skip::2::Skip,!!!!!!!!!!!!!!!
,,,,,,3,@Action::Ending::Action,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,0,Prologue,Bubble,,,0,@Camera::Player::Camera,Okay- so what should I do?
,,,,,,1,,……………
,,,,,,2,,After learning all sorts of things...
,,,,,,3,,The gist is that I can manipulate the Dungeon...
,,,,,,4,,And if I get more people to come and \grow the Dungeon- it'll work out- right?
,,,,,,5,,The more people- the more mana will gather- \and I'll be able to do more...
,,,,,,6,,I wonder who would come to a Dungeon like this...
,,,,,,7,,Well- I'll keep an eye on it for a day or so first?
,,,,,,8,,I need to know who's coming so I can prepare.
,,,,,,,,
,1,Tutorial_Facility,Bubble,,,0,@Camera::Player::Camera,As expected- it's just a few herb gatherers and miners.
,,,,,,1,,Well- what did I expect?
,,,,,,2,,Actually- I know this Dungeon best \since I've been here all the time...
,,,,,,3,,There's not much reason to come here...
,,,,,,4,,……………
,,,,,,5,,But from now on- I'll just have to create reasons!
,,,,,,6,,Let's start by creating herbs and minerals.
,,,,,,7,,At least a few people come for those.
,,,,,,8,,Is there anything else I can do?
,,,,,,9,,If I have time- I should check out the statues too.
,,,,,,,,
,2,Tutorial_Monster,Bubble,,,0,@Camera::Player::Camera,But adventurers will come too- even if it's just a few...
,,,,,,1,,I mean- there are novice adventurers sometimes.
,,,,,,2,,I can't just turn away adventurers whose goal is\exploration or treasure- or monsters.
,,,,,,3,,I might need monsters too.
,,,,,,4,,Let me try summoning one using the Dungeon's mana.
,,,,,,,,
,,,,,,,,
,3,Tutorial_Technical,Bubble,,,0,@Camera::Technical_A::Camera,
,,,,,,1,@Camera::Player::Camera,Did the Dungeon always have a space like this?
,,,,,,2,,It seems like I can build useful facilities here.
,,,,,,,,
,,,,,,,,
,4,Tutorial_Egg,Bubble,,,0,@Camera::Player::Camera,!!
,,,,,,1, @Camera::BasementFloor_3::Camera@Skip::2::Skip,
,,,,,,2, @Action::EggEntrance::Action@Skip::2::Skip,
,,,,,,3, @Camera::BasementFloor_Egg::Camera@Skip::2::Skip,
,,,,,,4, @Action::EggAppear::Action@Skip::2::Skip,
,,,,,,5,@Camera::Player::Camera,The warp gate has been reactivated.
,,,,,,6,,It would have been better if it stayed hidden...
,,,,,,7,,Anyway- I need to be careful not to let \this space be discovered.
,,,,,,8,,People would find it strange- \and the guild might investigate.
,,,,,,9,,It would be dangerous for me \if I can't complete the contract...
,,,,,,10,@Action::EggMessage::Action,
,,,,,,,,
,5,Tutorial_Guild,Bubble,,,0,@Camera::Player::Camera,Should I go to the guild?
,,,,,,1,,I might be able to get some helpful information.
,,,,,,2,,But I need to be careful to avoid any trouble.
,,,,,,3,,Someone might get suspicious.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,33,Day3_Event,Bubble,,,0,@Camera::EventNPC::Camera,Here's the Novice Dungeon.
,,,,,,1,,I'll be able to become a monster slayer here!
,,,,,,2,,I hope there's treasure too... Is there any?
,,,,,,,,
,,,,,,,,
,,,,,,,,
,83,Day8_Event,Bubble,,,0,@Camera::EventNPC::Camera,Is this the Novice Dungeon?
,,,,,,1,,Well- for a super rookie like me\this Dungeon is child's play.
,,,,,,2,,I'll breeze through and graduate from being a novice adventurer!!
,,,,,,,,
,,,,,,,,
,84,Day8_Event_Die,Bubble,,,0,@Camera::EventNPC::Camera,What is this Dungeon?
,,,,,,1,,It's way more dangerous than I heard?
