KR,\' = '\n',"-' = ','",,,,,,
,ID,keyName,"Type(Bubble,Quest)",dialogueName,,index,optionString,mainText
0~499 Day Event,,,,,,,,
500~999 Story,,,,,,,,
1000~1999 퀘스트보드,,,,,,,,
2000~9999 NPC이벤트,,,,,,,,
,,,,,,,,
,0,Prologue,Bubble,,,0,@Camera::Player::Camera,자. 그럼 어떻게 해야하지?
,,,,,,1,,…………
,,,,,,2,,그 후로 이것저것 알게된건 많지만…
,,,,,,3,,어쨌든 핵심은 내가 던전을 조작할 수 있고…
,,,,,,4,,사람들을 많이 오게해서 던전을 키우면 되는거잖아?
,,,,,,5,,사람이 많이 올수록 마나가 모여서 할 수 있는게 많아지고…
,,,,,,6,,이런 던전을 누가 올까 싶지만…
,,,,,,7,,뭐 일단 하루정도 지켜볼까?
,,,,,,8,,우선 누가 오는지 알아야 대비를 하니까.
,,,,,,,,
,,,,,,,,
,1,Tutorial_Facility,Bubble,,,0,@Camera::Player::Camera,역시 몇몇 약초꾼이랑 광부 정도만 오는구나.
,,,,,,1,,그럼 그렇지. 뭘 기대한거야.
,,,,,,2,,사실 맨날 이 던전을 다니던 내가 제일 잘 알잖아?
,,,,,,3,,이 던전에 올 이유가 별로 없다는걸…
,,,,,,4,,………………
,,,,,,5,,그래도 앞으로 이유를 만들어 나가면 되니까!
,,,,,,6,,일단 약초나 광물부터 만들어보자.
,,,,,,7,,어찌 됐건 조금씩은 오긴 하니까.
,,,,,,8,,또 할 수 있는 게 있으려나?
,,,,,,9,,시간이 남으면 조각상이나 좀 살펴봐야겠어.
,,,,,,,,
,,,,,,,,
,2,Tutorial_Monster,Bubble,,,0,@Camera::Player::Camera,그런데 적긴 해도 모험가들도 올텐데…
,,,,,,1,,가끔 있단말이지. 견습 모험가들이.
,,,,,,2,,탐색이나 보물- 몬스터가 목적인 모험가들은\약초나 광물로 돌려보낼 순 없을 테고.
,,,,,,3,,역시 몬스터가 필요할지도 모르겠어.
,,,,,,4,,던전의 마나를 사용해서 한 번 소환해보자.
,,,,,,,,
,,,,,,,,
,3,Tutorial_Technical,Bubble,,,0,@Camera::Technical_A::Camera,
,,,,,,1,@Camera::Player::Camera,던전에 저런 공간이 있었나?
,,,,,,2,,뭔가 유용한 시설을 지을 수 있을 것 같네.
,,,,,,,,
,,,,,,,,
,4,Tutorial_Egg,Bubble,,,0,@Camera::Player::Camera,!!
,,,,,,1, @Camera::BasementFloor_3::Camera@Skip::2::Skip,
,,,,,,2, @Action::EggEntrance::Action@Skip::2::Skip,
,,,,,,3, @Camera::BasementFloor_Egg::Camera@Skip::2::Skip,
,,,,,,4, @Action::EggAppear::Action@Skip::2::Skip,
,,,,,,5,@Camera::Player::Camera,전이진이 다시 활성화됐네.
,,,,,,6,,계속 숨겨져 있었으면 좋았겠지만…
,,,,,,7,,아무튼 이 공간을 들키지 않게 조심해야겠어.
,,,,,,8,,아무래도 이상하게 생각할테고- 길드에서 조사를 나올수도 있고.
,,,,,,9,,어찌 됐든 계약을 완료하지 못하면 내가 위험하니까…
,,,,,,10,@Action::EggMessage::Action,
,,,,,,,,
,,,,,,,,
