ID,TraitName,Name_KR,Detail_KR,Acquire_KR,Name_EN,Detail_EN,Acquire_EN,Name_JP,Detail_JP,Acquire_JP,Name_SCC,Detail_SCC,Acquire_SCC
,,,,,,,,,,,,,
1,Reconfigure,Àç±¸¼º,ºÎ»ó ÇÏ·ç µÚ È¸º¹,°íÀ¯ Æ¯¼º,Reconfigure,Recover after 1 day,Unique Trait,î¢Ï°à÷,1ìíı­ªËüŞÜÖ,Í³êó÷åàõ,ñì?,ìéô¸ı¨üá???,Í³êó÷åàõ
2,Vitality,È°·Â,ÀüÅõ ½ÃÀÛ ½Ã ÃÖ´ë HPÀÇ 10% È¸º¹,°íÀ¯ Æ¯¼º,Vitality,Heal 10% max HP at battle start,Unique Trait,üÀÕô,??ËÒã·ãÁ - õÌÓŞHPªÎ10%üŞÜÖ,Í³êó÷åàõ,üÀÕô,?Ôà?ã·?üá?õÌÓŞßæÙ¤?îÜ10%,Í³êó÷åàõ
3,Predation,Æ÷½Ä,ÀûÀ» ¾²·¯Æ®¸± ½Ã HP°¡ ¿µ±¸ÀûÀ¸·Î 1¸¸Å­ Áõ°¡,°íÀ¯ Æ¯¼º,Predation,Permanent +1 HP on kill,Unique Trait,øÚãİ,îØ?÷òãÁ - HPçµÎù+1,Í³êó÷åàõ,øÚãİ,?Óî?ìÑ?çµÎùñòÊ¥1ïÃßæÙ¤?,Í³êó÷åàõ
4,IronSkin,Ã¶ÇÇºÎ,°ø°İ ½Ã DEFÀÇ 25%¸¸Å­ ¹æ¾î¹«½Ãµ¥¹ÌÁö,°íÀ¯ Æ¯¼º,IronSkin,25% DEF as true damage,Unique Trait,?ù«,Íô?ãÁ - DEFªÎ25%ªòÎ»÷×«À«á?«¸,Í³êó÷åàõ,??ù«?,Íô??ğãà÷ßÓ?éÍÛÁåÙÕô25%îÜ???úª,Í³êó÷åàõ
5,Friend,Ä£±¸,Ãş¿¡ ÀÖ´Â ´Ù¸¥ À¯´Ö¸¶´Ù ¸ğµç ½ºÅÈ +1,°íÀ¯ Æ¯¼º,Friend,+1 all stats per unit on floor,Unique Trait,éÒ,Í­öµ?ªÎöâ«æ«Ë«Ã«È?ªËîï«¹«Æ?«¿«¹+1,Í³êó÷åàõ,éÒ?,??ß¾Øßêóìé?Ğìöâ?êÈ- á¶êó?àõ+1,Í³êó÷åàõ
6,Overwhelm,¾Ğµµ,ÀüÅõ ½ÃÀÛ ½Ã »ó´ëÀÇ ÇöÀçÃ¼·Â -20%,°íÀ¯ Æ¯¼º,Overwhelm,-20% enemy current HP at battle start,Unique Trait,?Óî,??ËÒã·ãÁ - îØªÎúŞî¤HPªò20%Êõá´,Í³êó÷åàõ,?Óî,?Ôà?ã·?Ë½î¸?ìÑ20%?îñßæÙ¤?,Í³êó÷åàõ
7,Nimble,Àçºü¸§,°ø°İ ½Ã µ¥¹ÌÁöÀÇ 50%ÀÇ Ãß°¡°ø°İ,°íÀ¯ Æ¯¼º,Nimble,50% extra attack on hit,Unique Trait,ãöáÜ,Íô?ãÁ - 50%ªÎõÚÊ¥Íô?,Í³êó÷åàõ,ÚÂôß,Íô??ğãà÷50%?èâÍô?,Í³êó÷åàõ
,,,,,,,,,,,,,
20,LifeDrain,Á¤±âÈí¼ö,°ø°İ ½Ã µ¥¹ÌÁöÀÇ 25%¸¸Å­ Ã¼·ÂÈí¼ö,°íÀ¯ Æ¯¼º,LifeDrain,Absorb 25% of damage dealt as health,Unique Trait,ßæ?ıå?,Íô?ãÁ - «À«á?«¸ªÎ25%ªòıå?,Í³êó÷åàõ,ßæÙ¤ıåö¢,Íô??ıåâ¥ğãà÷?úªîÜ25%?ûù?ßæÙ¤?,Í³êó÷åàõ
