EN,ID,Label,Detail,Option1,Option2,Option3
0~999 monster,,,,,,
,1,Slime,It's a surprisingly cute slime if you look closely. It's weak- but it's a monster with high potential for growth.,Evolution Hint: Max level and check the guild bulletin board,Slay the Slime Hunter,
,2,EarthGolem,It's a golem created by fusing the Dungeon's mana. It's sturdy and strong- perfect for facing adventurers. But it might have some limitations?,Evolution Hint: Max level and check the guild bulletin board,Slay Back Alley Bandits,
,3,MushBoy,It's a mushroom monster that loves dark and humid places. It has high attack power.,,,
,4,EvilEye,It's a monster with captivating eyes. Its appearance might make it seem fragile- but it's actually extremely tough- making it suitable for defense.,,,
,5,Fairy,It's a fairy monster- a pure crystallization of mana. It has a good balance in many areas- and high potential.,,,
,6,Salamandra,It's a monster with a primitive form. It breathes fire to attack enemies. Its racial trait allows it to intimidate enemies and make them tire quickly.,,,
,7,GreyHound,It's a friendly wolf-like monster. It's very brave and agile.,,,
,,,,,,
,,,,,,
,501,Bloody Slime,It's the evolved form of a slime- a Bloody Slime. It may look similar on the outside- but it has become considerably more powerful.,,,
,502,FlameGolem,It's the evolved form of an Earth Golem- a Flame Golem. It's even sturdier and stronger.,,,
,,,,,,
,,,,,,
,991,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,,
,992,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,,
,993,Novice Dungeon Master,Their adventure level is low- but they have quite a bit of Dungeon knowledge.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1000~1999 npc,,,,,,
,1000,Herbalist,They gather herbs and plants from the Dungeon and supply them to the village and guild.,,,
,1001,Veteran Herbalist,An experienced herbalist who has been in the profession for a long time.,,,
,,,,,,
,1100,Miner,They mine various minerals generated in the Dungeon and supply them to the village and guild.,,,
,1101,Veteran Miner,An experienced miner. They can work more efficiently for longer periods.,,,
,,,,,,
,1200,Adventurer,They recently became an adventurer. As an adventurer- they're more interested in monsters and treasure than resources.,,,
,1201,Experienced Adventurer,They're a quite famous adventurer. Their combat abilities and situational judgment are incomparable to novice adventurers.,,,
,,,,,,
,1300,Elf,They're a race that lives in nature and has a high affinity for mana. They have extensive knowledge about herbs and possess basic combat abilities.,,,
,,,,,,
,1400,Wizard,A wizard who explores magic- matter- and other interesting things. Their magic is highly destructive- making them quite dangerous.,,,
,,,,,,
,1800,Slime Hunter,A monster hunter dispatched by the guild to take on a quest,,,
