KR,ID,Label,Detail,Option1,Option2,Option3
0~999 monster,,,,,,
,1,スライム,よく見るとかわいらしいスライムです。弱いですが、成長の可能性が高いモンスターです。,進化のヒント：最大レベルに到達し、ギルド掲示板を確認してください,スライムハンター撃破,
,2,アースゴーレム,ダンジョンにマナを融合させて創造されたゴーレムです。頑丈で強いので、冒険者相手に適していますが、少し限界があるかもしれません。,進化のヒント：最大レベルに到達し、ギルド掲示板を確認してください,エレメンタリスト撃破,
,3,マッシュボーイ,暗くて湿った場所を好むキノコモンスターです。高い攻撃力を持っています。,,,
,4,イービルアイ,魅力的な目を持つモンスターです。見た目から皮膚が弱そうに見えますが、実は非常に硬いので、防御用に適しています。,,,
,5,フェアリー,純粋なマナの結晶である妖精モンスターです。様々な面でバランスが良く、潜在能力も高めです。,,,
,6,サラマンダー,原始的な形態を持つモンスターです。火を吐いて敵を攻撃します。種族特性で敵を威圧し、早く疲れさせます。,,,
,7,グレイハウンド,親しみやすい狼型モンスターです。非常に勇敢で素早い動きを持っています。,,,
,,,,,,
,,,,,,
,501,ブラッディスライム,スライムの進化形態であるブラッディスライムです。外見は似ていても、かなり強力になっています。,,,
,502,フレイムゴーレム,アースゴーレムの進化形態であるフレイムゴーレムです。より頑丈で、より強くなっています。,,,
,,,,,,
,,,,,,
,991,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,,
,992,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,,
,993,見習いダンジョンマスター,冒険レベルは低くてもダンジョンの知識はかなりのものです。,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1000~1999 npc,,,,,,
,1000,薬草採集人,ダンジョンで生える薬草や草を採取し、町やギルドに供給する役割を果たします。,,,
,1001,ベテラン薬草採集人,長期間薬草採集を生業としてきた熟練者です。,,,
,,,,,,
,1100,鉱夫,ダンジョンで生成される様々な鉱物を採掘し、町やギルドに供給する役割を果たします。,,,
,1101,ベテラン鉱夫,鉱物採掘の熟練者です。より長時間効率的に作業ができます。,,,
,,,,,,
,1200,駆け出し冒険者,冒険者になってからあまり経っていない新米冒険者です。冒険者なりに資源よりもモンスターと宝物に関心があります。,,,
,1201,名の知れた冒険者,かなり名の知れた冒険者です。戦闘能力や状況判断能力など、新米冒険者とは比べ物になりません。,,,
,,,,,,
,1300,エルフ,自然に生き、マナ親和性の高い種族です。薬草に関する知識が豊富で、基本的な戦闘力も備えています。,,,
,,,,,,
,1400,ウィザード,魔法と物質、その他興味深いものを探求する魔法使いです。魔法の破壊力が高いため、非常に危険です。,,,
,,,,,,
,1800,スライムハンター,ギルドのクエストを受けて出動したモンスターハンター,,,
,1801,裏路地の盗賊,ギルドでゴーレムの核が高値で取引されていると聞いて来た裏路地出身の盗賊,,,
,,,,,,
,,,,,,
,1903,新米冒険者,冒険者になったばかりの新米です。冒険者なりに資源よりもモンスターと宝物に関心があります。,,,
,,,,,,
,1908,血気盛んな冒険者,初心者ダンジョンを踏破して師匠の認定を得ようとする冒険者,,,
,,,,,,
,1910,ゴブリン,ダンジョンの全ての資源を欲しがるゴブリンです。,,,
,1911,欲張りゴブリン,ダンジョンの全ての資源を欲しがるゴブリンです。,,,
,1912,強欲なゴブリン,ダンジョンの全ての資源を欲しがるゴブリンです。,,,
,,,,,,
,1914,ダンジョンの災厄,どこからか現れた正体不明の生命体。ダンジョンの全てを破壊する。,,,
,,,,,,
,1915,引退した英雄,ダンジョンを調査しに来た過去の英雄出身の冒険者,,,
,,,,,,
,1920,ブラッドソングのリーダー,有名なパーティー「ブラッドソング」のリーダー兼剣士です。,,,
,1921,ブラッドソングの守護者,有名なパーティー「ブラッドソング」の前衛を担当する守護者です。,,,
,1922,ブラッドソングのウィザード,有名なパーティー「ブラッドソング」の攻撃を担当するウィザードです。,,,
,1923,ブラッドソングのレンジャー,有名なパーティー「ブラッドソング」の後衛を担当するレンジャーです。,,,
,1924,ブラッドソングのリーダー,有名なパーティー「ブラッドソング」のリーダー兼剣士です。,,,
,1925,ブラッドソングの守護者,有名なパーティー「ブラッドソング」の前衛を担当する守護者です。,,,
,1926,ブラッドソングのウィザード,有名なパーティー「ブラッドソング」の攻撃を担当するウィザードです。,,,
,1927,ブラッドソングのレンジャー,有名なパーティー「ブラッドソング」の後衛を担当するレンジャーです。,,,
,,,,,,
,1930,ギルド幹部,ギルドから派遣された調査団の分隊長です。,,,
,1931,ギルド幹部,ギルドから派遣された調査団の分隊長です。,,,
,1932,英雄［ブルーナイト］,ギルドから派遣された調査団の総隊長です。現在の英雄であり、［ブルーナイト］と呼ばれています。,,,
,,,,,,
,1941,ギルド兵士,ギルドから派遣された調査団の兵士です。,,,
,1942,ギルド戦闘員,ギルドから派遣された調査団の戦闘員です。兵士よりも戦闘経験が豊富です。,,,
,1943,ギルド精鋭兵,ギルドから派遣された調査団の精鋭兵です。一人一人が非常に強い戦闘力を持っています。,,,
,,,,,,
,,,,,,
,,,,,,
2000~2999 facility_Interaction,,,,,,
,2000,下級薬草,一般的な薬草です。少量ですがマナを含んでおり、ダンジョンでしか手に入らないため人気があります。,,,
,2001,上級薬草,かなり貴重な薬草です。高級ポーションの材料として使用されるそうです。,,,
,2002,マナ大根,マナを宿した大根です。最高級の食材として使用され、その他様々な合成にも使用されます。,,,
,,,,,,
,2004,ダンジョンシダ,古くから存在するシダ植物です。たまに大量に発生し、冒険者の進行を妨げることもあります。,,,
,2005,活力草,非常に稀に育つ薬草です。滋養強壮剤・活力ポーションなどに使用され、価値が高いです。,,,
,,,,,,
,2100,一般的な岩,一般的なダンジョンの岩です。しかし、地上の岩とは全く異なる物質です。,,,
,2101,砂岩,簡単に崩れて砂になる岩です。マナを含んでいるため簡単に固まり、水とよく混ざるので用途が多いです。,,,
,2102,硬い岩,硬い岩です。頑丈なので壊すにはかなりの体力が必要でしょう。建築材料として使用され、人気があります。,,,
,2103,マナ鉄鉱石,純度の高い鉄を含む鉄鉱石です。武器を作る際にも使われ、各種装飾品にも使用されます。,,,
,2104,石炭,火がよく付く石炭です。マナを含んだ石炭は火力も持続力もはるかに長いため、地上では高級燃料です。,,,
,2105,ダイヤモンド,非常に貴重な物質であるダイヤモンドです。マナの純度が高いため、魔法武器の核心部分に使用されます。非常に硬いため、採掘も困難です。,,,
,2106,ルビー,淡い赤色を放つルビー原石です。装飾品や観賞用として多く取引されます。,,,
,2107,ルーンストーン,魔法のルーン文字が刻まれた希少な原石です。上位クラスの魔法に必要不可欠な材料のため、高価で取引されます。,,,
,2108,クリスタル,透明で欠陥の少ないきれいなクリスタルです。大きさや形状によって価格が千差万別です。,,,
,,,,,,
,,,,,,
,2200,ゴールデンソード,金で作られた剣です。見た目は素晴らしいですが、実際の使用は難しく装飾用です。,,,
,2201,冒険者の剣,適度な重量とバランスで実際に使用できる剣です。,,,
,2202,炎の剣,炎の気が宿った剣です。,,,
,2203,毒の剣,毒が塗られている剣です。,,,
,2204,ダガー,短いですが非常に鋭いダガーです。,,,
,2205,セイバー,使いやすそうなセイバーです。,,,
,2206,クリスタルソード,クリスタルでできた剣です。儀式用に使用されます。,,,
,,,,,,
,,,,,,
,2210,マジックリング,冒険者たちがダンジョンを探索する最大の理由となる宝物です。,,,
,,,,,,
,2220,魔法使いの帽子,冒険者たちがダンジョンを探索する最大の理由となる宝物です。,,,
,,,,,,
,2230,魔法の巻物,冒険者たちがダンジョンを探索する最大の理由となる宝物です。,,,
,,,,,,
,2240,天上のハープ,正しく演奏すれば、どんなに遠い距離でも聞こえるという希少なアーティファクトです。,,,
,2241,魔法の砂時計,時の流れに干渉できる希少なアーティファクトです。,,,
,2242,魔法のランプ,願いを叶えてくれるという伝説の魔法のランプです。,,,
,2243,真実の鏡,映したものの真の姿を現す希少なアーティファクトです。,,,
,2244,平和のリラ,平和をもたらすと言われる伝説のリラです。,,,
,2245,海王の真珠,古代から海底に存在していた宝物である海王の真珠です。,,,
,2246,黄金の杯,黄金で作られた非常に価値の高い物です。,,,
,2247,古代の金貨,過去に使用されていた金貨です。実際の価値は誰にもわかりません。,,,
,2248,封印された十字架,何か強力な存在を封印する際に使用された十字架です。,,,
,2249,運命のサイコロ,振った通りに運命が決まるという恐ろしいサイコロです。,,,
,,,,,,
,,,,,,
,2250,黄金の王冠,冒険者たちがダンジョンを探索する最大の理由となる宝物です。,,,
,,,,,,
,,,,,,
,,,,,,
,2260,宝箱 A,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2261,宝箱 B,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2262,宝箱 C,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2263,宝箱 D,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2264,宝箱 E,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2265,宝箱 F,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2266,宝箱 G,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2267,宝箱 H,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2268,宝箱 I,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2269,宝箱 J,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2270,宝箱 K,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,2271,宝箱 L,中身が分からない箱です。しかし、冒険者なら開けずにはいられないでしょう。,,,
,,,,,,
,2400,澄んだ井戸,冒険者が休憩できる井戸です。飲むと力がわいて、さらに活動できます。\n使い切ったら再度補充する必要があります。,,,
,,,,,,
,,,,,,
,2901,神秘の卵,神秘的な雰囲気を持つ卵です。契約期間中は守らなければなりません。,,,
,2902,神秘の卵,神秘的な雰囲気を持つ卵です。契約期間中は守らなければなりません。,,,
,2903,神秘の卵,神秘的な雰囲気を持つ卵です。契約期間中は守らなければなりません。,,,
,,,,,,
,,,,,,
,2910,神秘の卵,神秘的な雰囲気を持つ卵です。契約期間中は守らなければなりません。温かいマナが漂っています。,,,
,2911,神秘の卵,神秘的な雰囲気を持つ卵です。契約期間中は守らなければなりません。,,,
,2912,神秘の卵,神秘的な雰囲気を持つ卵です。契約期間中は守らなければなりません。,,,
,,,,,,
,,,,,,
