KR,ID,Label,Detail,Option1,Option2,Option3
0~999 monster,,,,,,
,1,슬라임,자세히 보면 의외로 귀여운 슬라임입니다. 약하긴 하지만 성장가능성이 높은 몬스터입니다.,진화 힌트 : 최대 레벨을 찍고 길드게시판을 확인,슬라임 헌터 처치,
,2,어스골렘,던전에 마나를 융합해 창조해낸 골렘입니다. 튼튼하고 강해서 모험가들을 상대로 제격이에요. 하지만 조금 한계가 있을지도?,진화 힌트 : 최대 레벨을 찍고 길드게시판을 확인,원소술사 처치,
,3,머쉬보이,어둡고 습한곳을 좋아하는 버섯몬스터입니다. 높은 공격력을 지녔어요.,,,
,4,이블아이,"매력적인 눈을 지닌 몬스터에요. 생김새때문에 피부가 약할 것 같지만, 실은 엄청 단단하기 때문에 수비용으로 적절합니다.",,,
,5,페어리,"순수한 마나의 결정체인 요정 몬스터입니다. 여러방면에서 좋은 밸런스를 가지고 있고, 잠재력도 높은 편입니다.",,,
,6,살라만드라,원시적인 형태를 지닌 몬스터입니다. 불을 내뿜어 적을 공격합니다. 종족 특성으로 적을 위압하여 빨리 지치게 만들어요.,,,
,7,그레이하운드,친근감이 느껴지는 늑대형 몬스터입니다. 매우 용맹하고 재빠른 몸놀림을 지녔어요.,,,
,,,,,,
,,,,,,
,501,블러디 슬라임,슬라임의 진화 형태인 블러디 슬라임입니다. 겉으로 보기엔 비슷해 보여도 상당히 강력해졌습니다.,,,
,502,플레임 골렘,어스 골렘의 진화 형태인 플레임 골렘입니다. 더 튼튼하고 더 강해졌습니다.,,,
,,,,,,
,,,,,,
,991,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,,
,992,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,,
,993,초보자 던전 마스터,모험레벨은 낮아도 던전 지식은 상당한 편이에요.,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1000~1999 npc,,,,,,
,1000,약초꾼,던전에서 나오는 약초나 풀들을 채취해서 마을과 길드에 공급해주는 역할을 합니다.,,,
,1001,베테랑 약초꾼,약초꾼을 업으로 오랜기간 일한 숙련자입니다.,,,
,,,,,,
,1100,광부,던전에서 생성되는 다양한 광물을 캐내서 마을과 길드에 공급해주는 역할을 합니다.,,,
,1101,베테랑 광부,광물캐기 숙련자입니다. 더 오래 효율적으로 일 할 수 있습니다.,,,
,,,,,,
,1200,초보 모험가,모험가가 된지 얼마 안된 새내기 모험가입니다. 나름 모험가라서 자원보단 몬스터와 보물에 관심이 있습니다.,,,
,1201,이름있는 모험가,꽤 이름있는 모험가입니다. 전투 능력과 상황판단 능력 등 새내기 모험가와는 비교할 수 없어요.,,,
,,,,,,
,,,,,,
,1800,슬라임 헌터,길드의 퀘스트를 받고 출동한 몬스터 헌터,,,
,1801,뒷골목 도적,길드에서 골렘의 핵이 비싼값에 거래된다는 것을 듣고 온 뒷골목 출신 도적,,,
,,,,,,
,,,,,,
,1903,새내기 모험가,방금 모험가가 된 새내기 모험가입니다. 나름 모험가라서 자원보단 몬스터와 보물에 관심이 있습니다.,,,
,1908,혈기왕성한 모험가,초보자 던전을 답파하여 스승의 인정을 받으려하는 모험가,,,
,1915,은퇴한 영웅,던전을 조사하러온 과거 영웅 출신의 모험가,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2000~2999 facility_Interaction,,,,,,
,2000,하급 약초,흔한 약초입니다. 소량이지만 마나를 머금고 있고 던전에서만 얻을 수 있어 인기는 많습니다.,,,
,2001,상급 약초,꽤 귀한 약초입니다. 고급 포션의 재료로 사용된다고 하네요.,,,
,2002,마나 펌킨,마나를 지닌 호박입니다. 최고급 식재료로 사용되며 기타 여러 합성에도 사용됩니다.,,,
,,,,,,
,2100,흔한 바위,흔한 던전의 바위입니다. 그렇지만 지상의 바위와는 완전히 다른 물질이에요.,,,
,2101,모래바위,쉽게 부서져 모래가 되는 바위에요. 마나를 가지고 있어 쉽게 뭉쳐지고 물과 잘 섞여 쓰임새가 많아요.,,,
,2102,단단한 바위,단단한 바위입니다. 튼튼해서 부수려면 꽤나 많은 체력이 필요할 거에요. 건축재료로 사용되어 인기가 많습니다.,,,
,2103,마나 철광석,순도가 높은 철을 포함하고 있는 철광석입니다. 무기를 만들 때도 쓰이고 각종 장신구에도 쓰여요.,,,
,2104,석탄,불이 잘 붙는 석탄입니다. 마나를 먹은 석탄은 화력도 유지력도 훨씬 길기 때문에 지상에선 고급 연료입니다.,,,
,2105,다이아몬드,매우 귀한 물질인 다이아몬드입니다. 마나의 순도가 높기때문에 마법무기의 핵심 부분이에요. 매우 단단하기 때문에 캐기도 힘들어요.,,,
,,,,,,
,,,,,,
