KeyName,ID,Label_KR,Detail_KR,Option_KR,Label_EN,Detail_EN,Option_EN,Label_JP,Detail_JP,Option_JP,Label_SCC,Detail_SCC,Option_SCC
,,,,,,,,,,,,,
0~999 monster,,,,,,,,,,,,,
,1,슬라임,자세히 보면 의외로 귀여운 슬라임입니다. \약하긴 하지만 성장가능성이 높은 몬스터입니다., @Op1::최대 레벨 달성 후 길드게시판을 확인::Op1 @Op2::슬라임 헌터 처치::Op2,Slime,It's a surprisingly cute slime if you look closely. \It's weak- but it's a monster with high potential for growth., @Op1::Check the guild board after maxing out::Op1 @Op2::Slay Slime Hunter::Op2,スライム,よく見るとかわいらしいスライムです。弱いですが、成長の可能性が高いモンスターです。, @Op1::最大レベル達成後、ギルド掲示板を確認::Op1 @Op2::スライムハンター討伐::Op2,史莱姆,仔细看的话- 意外地可爱的史莱姆。虽然很弱- 但是具有高成长潜力的怪物。, @Op1::达到最高等级后查看公会公告板::Op1 @Op2::击败史莱姆猎人::Op2
,2,어스골렘,던전에 마나를 융합해 창조해낸 골렘입니다. \튼튼하고 강해서 모험가들을 상대로 제격이에요. 하지만 조금 한계가 있을지도?, @Op1::최대 레벨 달성 후 길드게시판을 확인::Op1 @Op2::도적 처치::Op2,EarthGolem,It's a golem created by fusing the Dungeon's mana. \It's sturdy and strong- perfect for facing adventurers. But it might have some limitations?, @Op1::Check the guild board after maxing out::Op1 @Op2::Slay Bandits::Op2,アースゴーレム,ダンジョンにマナを融合させて創造されたゴーレムです。\頑丈で強いので、冒険者相手に適していますが、少し限界があるかもしれません。, @Op1::最大レベル達成後、ギルド掲示板を確認::Op1 @Op2::盗賊退治::Op2,土元素巨像,通过融合地下城的魔力创造出的巨像。坚固强大- 非常适合对付冒险者。不过可能有一些局限性？, @Op1::达到最高等级后查看公会公告板::Op1 @Op2::击败盗贼::Op2
,3,머쉬보이,어둡고 습한곳을 좋아하는 버섯몬스터입니다. \높은 공격력을 지녔어요.,,MushBoy,It's a mushroom monster that loves dark and humid places. \It has high attack power.,,マッシュボーイ,暗くて湿った場所を好むキノコモンスターです。\高い攻撃力を持っています。,,蘑菇小子,喜欢阴暗潮湿地方的蘑菇怪物。拥有很高的攻击力。,
,4,이블아이,매력적인 눈을 지닌 몬스터에요. \생김새때문에 피부가 약할 것 같지만- 실은 엄청 단단하기 때문에 수비용으로 적절합니다.,,EvilEye,It's a monster with captivating eyes. \Its appearance might make it seem fragile- but it's actually extremely tough- making it suitable for defense.,,イービルアイ,魅力的な目を持つモンスターです。\見た目から皮膚が弱そうに見えますが、実は非常に硬いので、防御用に適しています。,,邪恶之眼,拥有迷人眼睛的怪物。虽然外表看起来皮肤可能很脆弱- 但实际上非常坚硬- 所以适合用于防御。,
,5,페어리,순수한 마나의 결정체인 요정 몬스터입니다. \여러방면에서 좋은 밸런스를 가지고 있고- 잠재력도 높은 편입니다., @Op1::최대한 많은 친구를 만들어주자::Op1 @Op2::다른 유닛 5개체와 같은 층에서 생존::Op2,Fairy,It's a fairy monster- a pure crystallization of mana. \It has a good balance in many areas- and high potential.,@Op1::Let's make as many friends as possible::Op1 @Op2::Survive on same floor with 5 other units::Op2,フェアリー,純粋なマナの結晶である妖精モンスターです。\様々な面でバランスが良く、潜在能力も高めです。,@Op1::できるだけたくさんの友達を作ってあげよう::Op1 @Op2::他のユニット5体と同じ階層で生存::Op2,精灵,纯粹魔力结晶的精灵怪物。\在各方面都有良好的平衡- 潜力也相当高。,@Op1::尽可能创造更多的朋友::Op1 @Op2::与其他5个单位在同一层存活::Op2
,6,살라만드라,원시적인 형태를 지닌 몬스터입니다. 불을 내뿜어 적을 공격합니다. \종족 특성으로 적을 위압하여 빨리 지치게 만들어요., @Op1::어느 정도 자란 개체는 추운 지역을 선호함::Op1 @Op2::레벨 20이상- 지하 5층에 배치::Op2,Salamandra,It's a monster with a primitive form. It breathes fire to attack enemies. \Its racial trait allows it to intimidate enemies and make them tire quickly.,@Op1::A grown individual prefers cold regions::Op1 @Op2::Level 20 or higher- Place on basement floor 5::Op2,サラマンダー,原始的な形態を持つモンスターです。火を吐いて敵を攻撃します。\種族特性で敵を威圧し、早く疲れさせます。,@Op1::ある程度成長した個体は寒冷地を好む::Op1 @Op2::レベル20以上- 地下5階に配置::Op2 ,火蜥蜴,具有原始形态的怪物。能喷火攻击敌人。\种族特性可以威慑敌人- 使其快速疲劳。, @Op1::成长到一定程度的个体更喜欢寒冷地区::Op1 @Op2::20级以上- 放置在地下5层::Op2
,7,그레이하운드,친근감이 느껴지는 늑대형 몬스터입니다. \매우 용맹하고 재빠른 몸놀림을 지녔어요., @Op1::좋아하는 것을 구해주자::Op1 @Op2::레벨 20이상- 아티팩트 : 신비한 뼈::Op2,GreyHound,It's a friendly wolf^like monster. \It's very brave and agile.,@Op1::Let's get what it likes::Op1 @Op2::Level 20 or higher- Artifact : Mysterious Bone::Op2,グレイハウンド,親しみやすい狼型モンスターです。\非常に勇敢で素早い動きを持っています。,@Op1::好きなものを手に入れてあげよう::Op1 @Op2::レベル20以上- アーティファクト：神秘的な骨::Op2,灰狼,看起来很亲切的狼型怪物。非常勇猛- 动作敏捷。,@Op1::给它找来喜欢的东西::Op1 @Op2::等级20以上- 神器：神秘骨头::Op2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,10,부시몬,나무 덩쿨이 얽혀있는 듯한 모습의 몬스터입니다. \방어력이 높기 때문에 수비용으로 적절합니다.,,Bushimon,A monster that looks like intertwined wood vines. \Its high defense makes it suitable for defensive purposes.,,ブッシュモン,木のつるが絡まったような姿のモンスターです。\防御力が高いため- 防御用として適しています。,,布什魔,一种看起来像缠绕的木藤的怪物。\因为防御力高- 所以适合用于防守。,
,11,그리피,독수리와 사자의 모습을 가지고 있는 몬스터입니다. \충분히 강하지만- 더 강해질 수 있다고 하네요., @Op1::수많은 전투와 승리::Op1 @Op2::레벨 25이상- 모험가에게 100번 승리하기::Op2,Griffy,A monster with the appearance of an eagle and a lion. \It's already strong- but they say it can become even stronger., @Op1::Numerous battles and victories::Op1 @Op2::Level 25 or higher- win against adventurers 100 times::Op2,グリフィ,ワシとライオンの姿を持つモンスターです。\十分に強いですが- さらに強くなれるそうです。, @Op1::数多くの戦闘と勝利::Op1 @Op2::レベル25以上- 冒険者に100回勝利する::Op2,格里菲,一种具有鹰和狮子外貌的怪物。\虽然已经很强大- 但据说还能变得更强。, @Op1::无数次战斗与胜利::Op1 @Op2::等级25或以上- 击败冒险者100次::Op2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20,서큐버스,아름다운 모습으로 꿈 속에 나타나 정기를 빼앗는다고 알려진 몬스터입니다., @Op1::정기흡수를 충분히 한다면::Op1 @Op2::정기흡수가 1000이상일 때 대화::Op2,Succubus,A monster known to appear in dreams with beautiful form- stealing life essence.,@Op1::When enough life essence is absorbed::Op1 @Op2::Talk when life essence absorption exceeds 1000::Op2,サキュバス,美しい姿で夢の中に現れ、精気を奪うと言われるモンスターです。,@Op1::十分な生気を吸収したら::Op1 @Op2::生気吸収が1000以上の時に会話::Op2,魅魔,以美丽的形象出现在梦中- 据说会吸取精气的怪物。,@Op1::当吸收足够的精气时::Op1 @Op2::精气吸收超过1000时对话::Op2
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Lievil,66,라이빌,무시무시한 힘을 가진 생명체. \무언가 비밀을 가지고 있어요.,,Lievil,A being with terrifying power. \Holds some kind of secret.,,リーヴィル,恐ろしい力を持つ生命体。\何か秘密を持っているようです。,,利维尔,拥有可怕力量的生命体。\似乎藏有某种秘密。,
,,,,,,,,,,,,,
Ravi,77,라비,따스하고 신비로운 힘을 가진 생명체. \무언가 비밀을 가지고 있어요.,,Ravi,A being with warm and mysterious power. \Holds some kind of secret.,,ラヴィ,温かく神秘的な力を持つ生命体。\何か秘密を持っているようです。,,拉维,拥有温暖而神秘力量的生命体。\似乎藏有某种秘密。,
,,,,,,,,,,,,,
Rideer,88,라이디아,강한 힘과 정의로움을 가진 생명체. \무언가 비밀을 가지고 있어요.,,Rideer,A being with strong power and righteousness. \Holds some kind of secret.,,リディア,強い力と正義を持つ生命体。\何か秘密を持っているようです。,,莱迪亚,拥有强大力量与正义的生命体。\似乎藏有某种秘密。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,501,블러디슬라임,슬라임의 진화 형태인 블러디 슬라임입니다. \겉으로 보기엔 비슷해 보여도 상당히 강력해졌습니다.,,Bloody Slime,It's the evolved form of a slime- a Bloody Slime. It may look similar on the outside- but it has become considerably more powerful.,,ブラッディスライム,スライムの進化形態であるブラッディスライムです。外見は似ていても、かなり強力になっています。,,血腥史莱姆,史莱姆的进化形态- 血腥史莱姆。虽然外表看起来相似- 但变得相当强大。,
,502,플레임골렘,어스 골렘의 진화 형태인 플레임 골렘입니다. \더 튼튼하고 더 강해졌습니다.,,Flame Golem,It's the evolved form of an Earth Golem- a Flame Golem. It's even sturdier and stronger.,,フレイムゴーレム,アースゴーレムの進化形態であるフレイムゴーレムです。より頑丈で、より強くなっています。,,烈焰巨像,土元素巨像的进化形态- 烈焰巨像。变得更加坚固和强大。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Pixie,505,픽시,페어리가 진화한 형태. 모두와 사이좋게 지내는 착한 요정 친구입니다.,,Pixie,The evolved form of a Fairy. A friendly fairy who gets along well with everyone.,,ピクシー,フェアリーの進化形態。みんなと仲良く過ごす優しい妖精の友達です。,,小精灵,精灵的进化形态。是一个与所有人都友好相处的善良精灵朋友。,
,506,샐린느,살라만드라가 진화한 형태. 어째서인지 두발로 걸을 수 있습니다. \보기와는 다르게 상당히 강합니다.,,Salinu,The evolved form of Salamandra. Can walk on two legs for some reason. \Much stronger than it appears.,,サリーヌ,サラマンドラの進化形態。なぜか二足歩行ができます。\見た目以上に非常に強いです。,,萨琳,火蜥蜴的进化形态。不知为何能够双足行走。\比外表看起来强大得多。,
,507,헬하운드,그레이하운드가 진화하여 헬하운드가 되었습니다. \보기만 해도 든든한 친구입니다.,,Hellhound,The Greyhound has evolved into a Hellhound. \Just looking at it makes you feel secure.,,ヘルハウンド,グレイハウンドが進化してヘルハウンドになりました。\見ているだけで頼もしい仲間です。,,地狱犬,灰猎犬进化成了地狱犬。\光是看着就让人感到安心的伙伴。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,511,그리폰,그리피의 진화 형태입니다. 비로소 완전한 형태가 되었습니다. \다방면에 뛰어난 모습을 보이는 만능형 몬스터입니다.,,Griffin,The evolved form of Griffy. It has finally reached its complete form. \This is a versatile monster that excels in various aspects.,,グリフォン,グリフィの進化形態です。ついに完全な形になりました。\様々な面で優れた能力を持つ万能型モンスターです。,,格里芬,格里菲的进化形态。终于达到了完整的形态。\这是一种在各方面都表现出色的全能型怪物。,
,,,,,,,,,,,,,
Lilith,520,릴리트,몽마의 왕이며 상위 악마 중 하나입니다. \다가가기 어려운 존재이지만- 그렇게 나쁜 짓은 하지 않는다고 해요.,,Lilith,The queen of succubi and one of the high^ranking demons. \Though difficult to approach- it's said she doesn't commit particularly evil deeds.,,リリス,サキュバスの女王であり上位悪魔の一人です。\近寄りがたい存在ですが- それほど悪いことはしないと言われています。,,莉莉丝,魅魔之王- 也是高阶恶魔之一。\虽然难以接近- 但据说并不会做什么特别邪恶的事。,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,901,녹빛 궁사,녹색 머리를 한 모험가. 무언가를 찾고 있는 것 같아요., @Op1::그녀의 이름은?::Op1 @Op2::그녀의 이름을 불러주자::Op2,Verdant Archer,An adventurer with green hair. Seems to be looking for something.,@Op1::What's her name?::Op1 @Op2::Let's call her name::Op2,緑色の弓矢,緑色の髪の冒険者。何かを探しているようだ。,@Op1::彼女の名前は何？::Op1 @Op2::彼女の名前を呼んであげよう::Op2,翠绿弓手,绿色头发的冒险者。似乎在寻找什么。, @Op1::她的名字是？::Op1 @Op2::让我们呼唤她的名字::Op2
,902,레나,내 이름을 불러줘서 고마워,,Rena,Thank you for calling my name,,レナ,私の名前を呼んでくれてありがとう,,雷娜,谢谢你呼唤我的名字,
,,,,,,,,,,,,,
