Key,English(en),Korean(ko),Japanese(ja),Chinese (Simplified)(zh-Hans)
"AP","AP","행동력","AP","行动力"
"AutoSave","AutoSave","자동저장","オートセーブ","自动保存"
"Battle_End","Battle over!","배틀 종료!","バトル終了！","战斗结束！"
"Battle_Lose","Defeat..","패배..","敗北..","失败.."
"Battle_Start","Battle start!","배틀 시작!","バトル開始！","战斗开始！"
"Battle_Win","Victory!","승리!","勝利！","胜利！"
"BGM Volume","BGM Volume","배경음악","音楽音量","背景音乐"
"Close","Close","닫기","閉じる","关闭"
"Confirm_AP","All AP will be consumed.","모든 AP가 소모됩니다","全てのAPが消費されます。","所有行动力将被消耗"
"Confirm_Expansion","Do you want to expand the dungeon?","던전을 확장할까요?","ダンジョンを拡張したいですか？","要扩展地下城吗？"
"Confirm_GoldStatue","Pray to the golden angel statue?","금빛 천사상에게 기도할까요?","金の天使像に祈りたいですか？","要向金色天使像祈祷吗？"
"Confirm_Guild","Are we going to visit the guild?","길드에 방문할까요?","ギルドに行く？","要访问公会吗？"
"Confirm_ManaStatue","Pray to the sliver angel statue?","은빛 천사상에게 기도할까요?","銀の天使像に祈りたいですか？","要向银色天使像祈祷吗？"
"Confirm_Opening","Do you want to watch the opening?","오프닝을 볼까요?","オープニングを見る？","要观看开场动画吗？"
"Confirm_Quit","Do you want to quit the game?","게임을 종료할까요?","ゲームを終了しますか？","要退出游戏吗？"
"Confirm_Remove","Remove?","제거할까요?","削除しますか？","要移除吗？"
"Confirm_Return","Are we going back to the dungeon?","던전으로 돌아갈까요?","ダンジョンに戻る？","要返回地下城吗？"
"Continue","Continue","이어하기","続きから","继续"
"Danger","Danger","위험도","危険度","危险度"
"Data Reset","Data Reset","데이터 삭제","データ削除","数据重置"
"Day","Day","일차","日","天"
"Effect Volume","Effect Volume","효과음","効果音","音效"
"Encyclopedia","Encyclopedia","도감","図鑑","图鉴"
"Event_DayOver","Day End","일차 종료","日終了","日结束"
"Event_DayStart","Day Start","일차 시작","日開始","日开始"
"Event_Defeat","is defeated","(이)가 패배함","が敗北","被击败"
"Event_Egg","is investigating the egg…","(이)가 알 조사중…","が卵を調査中…","正在调查蛋..."
