Key,English(en),Korean(ko),Japanese(ja),Chinese (Simplified)(zh-Hans)
Main_1_Day,"Current date.
During the day you welcome adventurers, and at night you maintain the dungeon.
One day passes each time you end a turn.","현재 날짜입니다. 
낮에는 모험가들을 맞이하고, 밤엔 던전을 정비합니다.
턴 종료를 할 때 마다 하루가 지나요.","現在の日付です。
昼は冒険者を迎え入れ、夜はダンジョンを整備します。
ターン終了するごとに1日が経過します。","当前日期。
白天迎接冒险者，晚上整修地下城。
每次结束回合时会过去一天。"
Main_1_Rank,"Dungeon rank.
You can be promoted based on popularity and danger levels.
However, certain stages may require additional conditions.
Higher ranks allow you to place more diverse facilities and units.","던전의 랭크입니다.
인기도와 위험도에 따라 승급 할 수 있어요.
하지만 특정 단계에선 다른 조건이 필요할 수 있습니다.
랭크가 높을수록 더 다양한 시설과 유닛을 배치할 수 있어요.","ダンジョンのランクです。
人気度と危険度に応じて昇格できます。
ただし、特定の段階では他の条件が必要になることがあります。
ランクが高いほど、より多様な施設とユニットを配置できます。","地下城等级。
根据人气度和危险度可以晋级。
但在某些阶段可能需要其他条件。
等级越高，可以配置的设施和单位越多样。"
Main_1_TurnOver,"End the turn after completing dungeon management.
Key Command: Hold SPACE","던전 관리를 마치고 턴을 종료합니다.
Key Command : Hold SPACE","ダンジョン管理を終えてターンを終了します。
キーコマンド：SPACEキー長押し","完成地下城管理后结束回合。
按键命令：长按空格键"
Main_2_Mana,"Current mana.
Used for most actions such as summoning units, placing facilities, and removing obstacles.
Can be obtained from most actions adventurers take in the dungeon.","현재 마나 입니다.
유닛을 소환하고 시설을 배치하고 장애물을 제거하는 등 대부분의 행동에 사용됩니다.
모험가들이 던전에 찾아와서 하는 대부분의 행동에서 얻을 수 있습니다.","現在のマナです。
ユニットの召喚、施設の配置、障害物の除去など、ほとんどの行動に使用します。
冒険者がダンジョンで行うほとんどの行動から獲得できます。","当前魔力。
用于召唤单位、放置设施、清除障碍物等大多数行动。
可以从冒险者在地下城中的大多数活动中获得。"
Main_2_Gold,"Current gold.
Used for placing special facilities like treasure chests and traps, or purchasing artifacts.
Can be obtained by defeating adventurers or through special facilities.","현재 골드 입니다.
보물상자, 함정 등 특수한 시설을 배치하거나 아티팩트 구매 등에 사용합니다.
모험가들을 상대로 승리하거나 특수시설 등으로 얻을 수 있습니다.","現在のゴールドです。
宝箱や罠などの特殊施設の配置やアーティファクトの購入に使用します。
冒険者との戦闘に勝利したり、特殊施設から獲得できます。","当前金币。
用于放置宝箱、陷阱等特殊设施或购买神器。
可以通过击败冒险者或特殊设施获得。"
Main_2_Pop,"Danger and popularity levels.
Higher danger attracts more dangerous adventurers, higher popularity brings more adventurers to visit.","위험도와 인기도입니다.
위험도가 높으면 더 위험한 모험가들이 방문하고, 인기도가 높아지면 더 많은 모험가들이 방문해요.","危険度と人気度です。
危険度が高いとより危険な冒険者が、人気度が高いとより多くの冒険者が訪れます。","危险度和人气度。
危险度越高会吸引越危险的冒险者，人气度越高会吸引越多冒险者。"
Main_2_AP,"Action Points. Required for various actions such as praying at statues, removing obstacles, constructing special facilities, visiting the guild, and interacting with units.
Recovers to maximum every turn, so it's best to use them all before ending the turn.","행동력입니다. 조각상에 기도, 장애물 제거, 특수시설 건물, 길드 방문, 유닛과의 상호작용 등 다양한 곳에 필요해요.
매 턴 최대치로 회복되니, 턴 종료 전에 모두 사용하는게 좋습니다.","行動力です。石像への祈り、障害物の除去、特殊施設の建設、ギルドの訪問、ユニットとの交流など、様々な行動に必要です。
毎ターン最大値まで回復するので、ターン終了前にすべて使用するのがお勧めです。","行动力。用于祈祷雕像、清除障碍物、建造特殊设施、访问公会、与单位互动等各种行动。
每回合恢复至最大值，建议在回合结束前用完。"
Main_3_Save,"Save & Load.
Auto-saves at the end of each turn, during turns only loading is possible.
Key Command: I","세이브 & 로드입니다.
매 턴이 종료되고 자동저장되며, 턴 진행중엔 로드만 할 수 있습니다.
Key Command : I","セーブ＆ロードです。
各ターン終了時に自動保存され、ターン中はロードのみ可能です。
キーコマンド：I","储存与读取。
每回合结束时自动保存，回合进行中只能读取。
按键命令：I"
Main_3_Result,"You can check previous result reports.
Key Command: P","이전의 결과 보고서를 다시 확인할 수 있습니다.
Key Command : P","過去の結果レポートを確認できます。
キーコマンド：P","可以查看之前的结果报告。
按键命令：P"
Main_3_Book,"Data Encyclopedia.
You can get various information about units, adventurers, facilities, and more.
Points can be earned through interactions, satisfaction, victories, and other methods.
Key Command: O","데이터 도감입니다.
유닛과 모험가, 시설 등 다양한 정보를 얻을 수 있어요.
Point는 상호작용, 만족, 승리 등 여러 방법으로 얻을 수 있어요.
Key Command : O","データ図鑑です。
ユニットや冒険者、施設などの様々な情報を得ることができます。
ポイントは交流、満足度、勝利など様々な方法で獲得できます。
キーコマンド：O","数据图鉴。
可以获得关于单位、冒险者、设施等各种信息。
可以通过互动、满意度、胜利等多种方式获得点数。
按键命令：O"
