Key,English(en),Korean(ko),Japanese(ja)
"AutoSave","AutoSave","자동저장","オートセーブ"
"BGM Volume","BGM Volume","배경음악","音楽音量"
"Close","Close","닫기","閉じる"
"Confirm_AP","All AP will be consumed.","모든 AP가 소모됩니다","全てのAPが消費されます。"
"Confirm_Expansion","Do you want to expand the dungeon?","던전을 확장할까요?","ダンジョンを拡張したいですか？"
"Confirm_GoldStatue","Pray to the golden angel statue?","금빛 천사상에게 기도할까요?","金の天使像に祈りたいですか？"
"Confirm_Guild","Are we going to visit the guild?","길드에 방문할까요?","ギルドに行く？"
"Confirm_ManaStatue","Pray to the sliver angel statue?","은빛 천사상에게 기도할까요?","銀の天使像に祈りたいですか？"
"Confirm_Opening","Do you want to watch the opening?","오프닝을 볼까요?","オープニングを見る？"
"Confirm_Quit","Do you want to quit the game?","게임을 종료할까요?","ゲームを終了しますか？"
"Confirm_Remove","Remove?","제거할까요?","削除しますか？"
"Confirm_Return","Are we going back to the dungeon?","던전으로 돌아갈까요?","ダンジョンに戻る？"
"Continue","Continue","이어하기","続きから"
"Danger","Danger","위험도","危険度"
"Day","Day","일차","日"
"Default","Mana
Gold
Popularity
Danger
Rank","마나
골드
인기도
위험도
던전등급","マナ
ゴールド
人気度
危険度
ランク"
"Effect Volume","Effect Volume","효과음","効果音"
"Full Screen","Full Window","전체 화면","全画面"
"Gold","Gold","골드","ゴールド"
"Language","Language","언어","言語"
"LanguageChange","Would you like to change the language?","언어를 변경할까요?","言語を変更しますか？"
"Load","Load","로드","ロード"
"Main","Title","메인으로","タイトル"
"Mana","Mana","마나","マナ"
"Message_Egg","A passage leading to a hidden room has appeared. 

If anyone intrudes on this room and the egg is discovered, it will be game over.","숨겨진 방으로 향하는 통로가 나타났습니다.

이후로 이 방에 누군가 침입해 알이 발견당하면 게임오버가 됩니다.","隠し部屋への通路が出現しました。 

これからこの部屋に誰かが侵入して卵が発見されるとゲームオーバーになります。"
"Message_First","Place various facilities and monsters in the dungeon to let adventurers obtain mana! 

Mana can be obtained from most actions that adventurers take in the dungeon.","던전에 다양한 시설과 몬스터들을 배치하여 모험가들에게 마나를 얻으세요!

마나는 기본적으로 모험가들이 던전에서 행하는 대부분의 행동에서 얻을 수 있어요.","ダンジョンにさまざまな施設とモンスターを設置して、冒険者にマナを獲得させましょう！ 

マナは基本的に、冒険者がダンジョンで行うほとんどの行動から得ることができます。"
"Message_Get_Danger","Get Danger","위험도를 획득했습니다","危険度を獲得しました"
"Message_Get_Gold","Get Gold","골드를 획득했습니다","ゴールドを獲得しました"
"Message_Get_Mana","Get Mana","마나를 획득했습니다","マナを獲得しました"
"Message_Get_Pop","Get Popularity","인기도를 획득했습니다","人気度を獲得しました"
"Message_MaxLv","Maximum level","최대 레벨 입니다","最大レベルです。"
"Message_No_AP","Not enough AP.","AP가 부족합니다","APが不足しています。"
"Message_No_Gold","Not enough Gold.","골드가 부족합니다","ゴールドが不足しています。"
"Message_No_Mana","Not enough Mana.","마나가 부족합니다","マナが不足しています。"
"Message_No_Rank","Not enough Rank.","랭크가 부족합니다","ランクが不足しています。"
"Message_No_Slot","Not enough Monster Slot.","몬스터 슬롯이 부족합니다","モンスタースロットが不足しています。"
"Message_Saved","Successfully saved","저장되었습니다.","セーブされました"
"Message_Summon","Summon successful!","소환 성공!","召喚成功！"
"NewGame","New Game","새 게임","新しいゲーム"
"No","No","아니요","いいえ"
"No Data","No Data","데이터 없음","データなし"
"Option","Settings","설정","設定"
"Popularity","Popularity","인기도","人気度"
"Quit","Exit","종료","終了"
"Rank","Rank","랭크","ランク"
"Resolution","Resolution","해상도","解像度"
"Save","Save","세이브","セーブ"
"Slot","Slot","슬롯","スロット"
"TextSpeed","Dialogue Speed","대사 속도","セリフ速度"
"Yes","Yes","네","はい"
"길드 방문","Visit Guild","길드 방문","ギルド訪問"
"몬스터 관리","Monster Management","몬스터 관리","モンスター管理"
"몬스터 소환","Monster Summon","몬스터 소환","モンスター召喚"
"시설 배치","Facility Placement","시설 배치","施設配置"
"퀘스트","Quest","퀘스트","クエスト"
"턴 종료","End Turn","턴 종료","ターン終了"
